"ID","Item","Company","Quantity","Currency","Conversion Rate","ID (Items)","Item Code (Items)","Qty (Items)","Rate (Items)","UOM (Items)"
"BOM-CK_Blueberry-003","CK_Blueberry","PCS Healthy Creation",30.0,"THB",1.0,"7lcc7d5va4","Boiled Chicken",4500.0,0.15,"Gram"
"","","","","","","7lccnf3022","Glycine",750.0,0.08,"Gram"
"","","","","","","7lcccf8a29","CMC",15.0,0.17,"Gram"
"","","","","","","7lcc1ocuan","Xanthan",18.0,0.14,"Gram"
"","","","","","","7lccbmvsbn","Guar Gum",15.0,0.18,"Gram"
"","","","","","","7lccnuj9h5","Mix berry Flavor",20.0,1.72,"Gram"
"","","","","","","7lccsbggpd","Malic",10.0,0.22,"Gram"
"","","","","","","7lcc8nf3n0","Blueberry Squash",300.0,0.09,"Gram"
"","","","","","","7lccco4cf6","Yoghurt Flavor",20.0,0.9,"Gram"
"","","","","","","7lcc5lc7nv","Lactic Acid",15.0,0.15,"Gram"
"","","","","","","7lccvmmnvv","Citric Acid",7.0,0.08,"Gram"
"","","","","","","7lccr75o00","Sucralose",2.8,0.95,"Gram"
"","","","","","","7lcctq5725","Purple Color",1.25,0.22,"Millilitre"
"","","","","","","7lccdonufb","Water",10.5,8.0,"Litre"
"BOM-CK_Mango-002","CK_Mango","PCS Healthy Creation",30.0,"THB",1.0,"38grt5ia0r","Boiled Chicken",4500.0,0.15,"Gram"
"","","","","","","38grue36kn","Glycine",750.0,0.08,"Gram"
"","","","","","","38gr4vsgl4","CMC",15.0,0.17,"Gram"
"","","","","","","38grul3u5d","Xanthan",18.0,0.14,"Gram"
"","","","","","","38gr0h9sv6","Guar Gum",15.0,0.18,"Gram"
"","","","","","","38gr9hk6ss","Malic",10.0,0.22,"Gram"
"","","","","","","38gr8r85f3","Yellow Color",3.75,0.22,"Millilitre"
"","","","","","","38grqber9n","Passionfruit Flavor",10.0,0.84,"Gram"
"","","","","","","38gr5bmj9c","Passionfruit Squash",300.0,0.09,"Gram"
"","","","","","","38gr8drnv7","Yoghurt Flavor",20.0,0.9,"Gram"
"","","","","","","38grq47es6","Lactic Acid",15.0,0.15,"Gram"
"","","","","","","38grtqkb44","Citric Acid",7.0,0.08,"Gram"
"","","","","","","38gr98hldb","Sucralose",2.5,0.95,"Gram"
"","","","","","","38gr2vlnfr","Water",10.5,8.0,"Litre"
"BOM-CK_Lychee-002","CK_Lychee","PCS Healthy Creation",30.0,"THB",1.0,"b5h8qu39jk","Boiled Chicken",4500.0,0.15,"Gram"
"","","","","","","b5h8g7air8","Glycine",750.0,0.08,"Gram"
"","","","","","","b5h83a5v77","CMC",15.0,0.17,"Gram"
"","","","","","","b5h8987nrf","Xanthan",18.0,0.14,"Gram"
"","","","","","","b5h8ant22r","Guar Gum",15.0,0.18,"Gram"
"","","","","","","b5h852t8q0","Lychee Flavor",60.0,0.75,"Gram"
"","","","","","","b5h85ollpa","Malic",10.0,0.22,"Gram"
"","","","","","","b5h8ddgf0n","Lychee Squash",300.0,0.09,"Gram"
"","","","","","","b5h8v7hklk","Pink Color",1.25,0.22,"Millilitre"
"","","","","","","b5h8omft8m","Yoghurt Flavor",20.0,0.9,"Gram"
"","","","","","","b5h88hbi3t","Lactic Acid",15.0,0.15,"Gram"
"","","","","","","b5h8gmork4","Citric Acid",7.0,0.08,"Gram"
"","","","","","","b5h87s2rlh","Sucralose",2.5,0.95,"Gram"
"","","","","","","b5h88ji2hn","Water",10.5,8.0,"Litre"
"BOM-CK_Peach-002","CK_Peach","PCS Healthy Creation",30.0,"THB",1.0,"10vo8fmml7","Boiled Chicken",4500.0,0.15,"Gram"
"","","","","","","10vo3s5eir","Glycine",750.0,0.08,"Gram"
"","","","","","","10vohrvsit","CMC",15.0,0.17,"Gram"
"","","","","","","10voo2mrhf","Xanthan",18.0,0.14,"Gram"
"","","","","","","10voubpg99","Guar Gum",15.0,0.18,"Gram"
"","","","","","","10vobmt1m7","Malic",5.0,0.22,"Gram"
"","","","","","","10vop73hsu","White Peach Flavor",40.0,0.85,"Gram"
"","","","","","","10vok45bvr","Yoghurt Flavor",20.0,0.9,"Gram"
"","","","","","","10vo60dlpl","Lactic Acid",15.0,0.15,"Gram"
